arm	idx	prompt_tok	compl_tok	PP	TG	total_s	sclk	busy%	W	degC
A-llamacpp-tuned-vulkan	1	18040	300	488.02	21.948	50.63	2900	99	56.1	86.0
A-llamacpp-tuned-vulkan	2	18037	300	466.31	21.037	52.94	2815	98	55.0	97.0
A-llamacpp-tuned-vulkan	3	18036	300	471.88	20.698	52.72	2669	98	51.1	99.0
B-lemonade-rocm	1	18035	300	321.38	19.347	71.62	2898	100	55.0	96.0
B-lemonade-rocm	2	18035	300	321.54	19.863	71.19	2578	100	49.1	99.0
B-lemonade-rocm	3	18040	300	319.79	19.689	71.65	2521	100	48.0	99.0
C-lemonade-vulkan	1	18036	300	294.66	19.263	76.78	2726	99	49.0	99.0
C-lemonade-vulkan	2	18038	300	296.79	21.473	74.75	2578	99	46.1	100.0
C-lemonade-vulkan	3	18038	300	278.90	11.391	91.01	2588	99	45.0	99.0
D-lemonade-vulkan-tuned	1	18036	300	339.19	17.812	70.02	2856	99	50.0	98.0
D-lemonade-vulkan-tuned	2	18038	300	328.43	17.439	72.13	2568	100	46.1	99.0
D-lemonade-vulkan-tuned	3	18038	300	259.67	11.710	95.09	2683	100	44.1	99.0
E-lemonade-rocm-tuned	1	18040	300	368.03	19.538	64.37	2714	100	48.1	99.0
E-lemonade-rocm-tuned	2	18036	300	371.61	12.272	72.98	2516	99	45.0	99.0
E-lemonade-rocm-tuned	3	18036	300	303.23	11.169	86.34	2668	100	44.1	99.0
F-llamacpp-tuned-CONTROL	1	18038	300	451.53	15.592	59.19	2839	97	47.1	98.0
F-llamacpp-tuned-CONTROL	2	18036	300	317.84	12.529	80.69	2691	99	44.1	98.0
F-llamacpp-tuned-CONTROL	3	18039	300	297.32	12.010	85.65	2711	100	44.1	98.0
